province,district_number,candidate_no,candidate_name,party,votes,drive_id,drive_url
นนทบุรี,7,1,นายเกียรติคุณ ต้นยาง,ประชาชน,41267,1XQZTpIeiR5vqh4E6_8TRK-Y5Pk0xhloc,https://drive.google.com/file/d/1XQZTpIeiR5vqh4E6_8TRK-Y5Pk0xhloc/view
นนทบุรี,8,3,นายนนท์ ไพศาลลิ้มเจริญกิจ,ประชาชน,36631,12pmuzMUzTZlf5-Nh4gogNTF9nfaSlDBe,https://drive.google.com/file/d/12pmuzMUzTZlf5-Nh4gogNTF9nfaSlDBe/view
นราธิวาส,1,4,นายลุตฟี หะยีอีแต,กล้าธรรม,40637,1HyYBgEaqev64kYG6G4GkkzEUZ_2IWHVS,https://drive.google.com/file/d/1HyYBgEaqev64kYG6G4GkkzEUZ_2IWHVS/view
นราธิวาส,2,2,นายอามินทร์ มะยูโต๊ะ,กล้าธรรม,43594,1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd,https://drive.google.com/file/d/1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd/view
นราธิวาส,3,2,นายสัมพันธ์ มะยูโซะ,กล้าธรรม,36480,19SEQ3JlF1d9-5azJeDhp09KnWrKG-c90,https://drive.google.com/file/d/19SEQ3JlF1d9-5azJeDhp09KnWrKG-c90/view
นราธิวาส,4,5,นายซาการียา สะอิ,ภูมิใจไทย,42262,1ewicRg1h4Sxy1AWSF6t3hnz2LPua3cQd,https://drive.google.com/file/d/1ewicRg1h4Sxy1AWSF6t3hnz2LPua3cQd/view
นราธิวาส,5,1,นายกมลศักดิ์ ลีวาเมาะ,ประชาชาติ,47012,1WO1Wy9dRf7E4u0GfyA9bLvlD5fFlb71Y,https://drive.google.com/file/d/1WO1Wy9dRf7E4u0GfyA9bLvlD5fFlb71Y/view
น่าน,2,3,นายประสิทธิ์ โนทะ,กล้าธรรม,38228,1WHuT1oRCirzYuc8dNTOa_gKOxWxXGaW9,https://drive.google.com/file/d/1WHuT1oRCirzYuc8dNTOa_gKOxWxXGaW9/view
น่าน,3,2,นายเจริญ อภิภัทรโกศล,ประชาชน,26189,12NuiOsfdjhX9CFXanbIf0kd6zTLMkh3E,https://drive.google.com/file/d/12NuiOsfdjhX9CFXanbIf0kd6zTLMkh3E/view
บึงกาฬ,1,6,นายสยาม เพ็งทอง,ภูมิใจไทย,37182,14oBucoxPb0qVLwU9ufGe7h1sIQwXqjRd,https://drive.google.com/file/d/14oBucoxPb0qVLwU9ufGe7h1sIQwXqjRd/view
บึงกาฬ,2,3,นายสุริยา แป้นสุขา,ภูมิใจไทย,26482,1uOE6HGXjFNb2WZXBoEMX7IOrlmvBXuyU,https://drive.google.com/file/d/1uOE6HGXjFNb2WZXBoEMX7IOrlmvBXuyU/view
บึงกาฬ,3,1,นายวิโรจน์ สาระวงศ์,ภูมิใจไทย,34041,1VzpODNa7IjE6eDVMtTKidQep3biv-LHB,https://drive.google.com/file/d/1VzpODNa7IjE6eDVMtTKidQep3biv-LHB/view
บุรีรัมย์,2,5,,,56479,1XNFjQLyFDZ9vYpHbco961RUfug60l2O9,https://drive.google.com/file/d/1XNFjQLyFDZ9vYpHbco961RUfug60l2O9/view
บุรีรัมย์,3,1,,,56210,1p6sMMfwzDg40BHVrzlBf0-XONxLm2DyP,https://drive.google.com/file/d/1p6sMMfwzDg40BHVrzlBf0-XONxLm2DyP/view
บุรีรัมย์,4,3,,,51536,13AR6YYI8H455K5iek6vnxUDU5l-VqPeV,https://drive.google.com/file/d/13AR6YYI8H455K5iek6vnxUDU5l-VqPeV/view
บุรีรัมย์,8,5,,,53217,1WzRcUghzMxn-Y1ZEMKNG1bUsv7Y7LHWI,https://drive.google.com/file/d/1WzRcUghzMxn-Y1ZEMKNG1bUsv7Y7LHWI/view
ปทุมธานี,1,4,นายเจษฎา ดนตรีเสนาะ,ประชาชน,32835,1KpA6SFhZiSAEHsm8o7t0Rxkspau6vQ0F,https://drive.google.com/file/d/1KpA6SFhZiSAEHsm8o7t0Rxkspau6vQ0F/view
ปทุมธานี,2,1,นายศุภชัย นพขำ,เพื่อไทย,36340,1PuITLuq5ofu5yCvgvnR6KTyzjKTB2HBu,https://drive.google.com/file/d/1PuITLuq5ofu5yCvgvnR6KTyzjKTB2HBu/view
ปทุมธานี,3,7,นายเอกศักดิ์ หอมชื่น,ประชาชน,42004,1fmWDsYZnzXTmKycylSntWVEOiBNf1ED4,https://drive.google.com/file/d/1fmWDsYZnzXTmKycylSntWVEOiBNf1ED4/view
ปทุมธานี,4,1,นายสกล สุนทรวาณิชย์กิจ,ประชาชน,41039,1Q_vyNlUz5qW6zb0z0g9Voy1r_pPAbI01,https://drive.google.com/file/d/1Q_vyNlUz5qW6zb0z0g9Voy1r_pPAbI01/view
ปทุมธานี,5,3,นายเชตวัน เตือประโคน,ประชาชน,35383,1pg72LwM4HlAml2dRTNTB4K2yASF4lnBo,https://drive.google.com/file/d/1pg72LwM4HlAml2dRTNTB4K2yASF4lnBo/view
ปทุมธานี,6,8,นายธนภัทร ตระกูลภูชัย,ประชาชน,42684,13wfIUFLrPX_mzouu3s_EpcYiNVqxDYX7,https://drive.google.com/file/d/13wfIUFLrPX_mzouu3s_EpcYiNVqxDYX7/view
ปทุมธานี,7,4,นายพิษณุ พลธี,ภูมิใจไทย,46202,1p-8IlTlniZm7OvThSA0Im-pUppR-3AEv,https://drive.google.com/file/d/1p-8IlTlniZm7OvThSA0Im-pUppR-3AEv/view
ปทุมธานี,8,3,นางสาวพรพิมล ธรรมสาร,ภูมิใจไทย,42730,18PzDR_JEhyWuy9k7NEnzGJ7cjwIWaTo9,https://drive.google.com/file/d/18PzDR_JEhyWuy9k7NEnzGJ7cjwIWaTo9/view
ประจวบคีรีขันธ์,1,3,นายสังคม แดงโชติ,ภูมิใจไทย,51582,1cupM4QyYQP61yjXHgaRDfXeTn63VktDG,https://drive.google.com/file/d/1cupM4QyYQP61yjXHgaRDfXeTn63VktDG/view
ประจวบคีรีขันธ์,2,1,นายจักพันธ์ ปิยพรไพบูลย์,กล้าธรรม,43420,16nEg4rZBwLqgZmZx3_R-e_JXk-uuZtMt,https://drive.google.com/file/d/16nEg4rZBwLqgZmZx3_R-e_JXk-uuZtMt/view
