province,district,election_type,drive_id,extracted_valid,weak_summary,ref_valid,delta_valid_vs_killernay,exact_killernay
ชลบุรี,3,constituency,1N8A5d2vxjIe02yGKOsMB0Yx76-NcJ6z5,90301.0,False,90301.0,0.0,True
ชลบุรี,3,party_list,1T4LvEdP1tIIf4unGuSJRkz2MGuM_Wena,91927.0,False,91927.0,0.0,True
ชลบุรี,4,constituency,1G6S4w7kgU84X9ZfujGg1ws7XTgYOb0J5,80770.0,False,80770.0,0.0,True
ชลบุรี,4,party_list,1533xIfpTyRUfCWb3OHbDu38VdC2PFsNX,80879.0,False,80879.0,0.0,True
ชลบุรี,5,constituency,1vvtdVELx6Uy-UCXIy-mI9dywJR3aypgU,95514.0,False,95514.0,0.0,True
ชลบุรี,5,party_list,1xgSJUkXE01ohbXKX0_4ZelS8LUfYDNKN,95056.0,False,95056.0,0.0,True
ชลบุรี,6,constituency,1gryJUqkBd4743lo9YwyKsUY7VBGs9y7v,89423.0,False,89423.0,0.0,True
ชลบุรี,6,party_list,1gbJGolaObci3aL5RIE0wRfYvYE_5TQsB,90677.0,False,90677.0,0.0,True
ชลบุรี,7,constituency,1Qo3iFTyE9LLEH6mlIWN0TlmFnUeD9zbD,82754.0,False,82754.0,0.0,True
ชลบุรี,7,party_list,14ZauwDE1lFfHrueRHgJxSZdOqDmj9KPZ,83989.0,False,83989.0,0.0,True
ชลบุรี,8,constituency,1fUq3X3-b42FixRx5kn810RUVTQFuFwp0,86994.0,False,86994.0,0.0,True
ชลบุรี,8,party_list,1XyT1Qm-Relx0u2G2RimnOebrnpuyNxZL,88210.0,False,88210.0,0.0,True
ชลบุรี,9,constituency,1tElS-omfn39W2UNolZqnSLIjsRMUGnZh,62409.0,False,62409.0,0.0,True
ชลบุรี,9,party_list,1mLnt8T0FLDmt4GPoGc68gP9hATExvahL,65089.0,False,65089.0,0.0,True
ชลบุรี,10,constituency,1YSZ7bExOx_gVbNQxusQZYozXqdvvRyb1,82457.0,False,82457.0,0.0,True
ชลบุรี,10,party_list,19CqLtI8295pA-t9gZ8JoEvN5pzSDsNfO,82021.0,False,82021.0,0.0,True
ชัยนาท,1,constituency,1oHtsiTENlPEIJmvbmOechAuSmkXxysUp,80770.0,False,80770.0,0.0,True
ชัยนาท,1,party_list,1pSzYLedpO7n6rH6eGrs28lFP4-e2VRhJ,84121.0,False,84121.0,0.0,True
ชัยนาท,2,constituency,108lzSD4F6xxAtJLCC2Cg0SbkHMz7737m,84484.0,False,84484.0,0.0,True
ชัยนาท,2,party_list,15xeVGigdM-BFo_spOikbkeoXxpm1zOp1,84197.0,False,84197.0,0.0,True
ชัยภูมิ,1,constituency,1qRbWj49s4ZgS2EUihGH08sIJIIrc0v-8,81673.0,False,81673.0,0.0,True
