province,district_number,drive_id,drive_url,name,parse_status,valid_votes,invalid_votes,blank_votes,row_count
มหาสารคาม,1,1RDdLH4SlQ9lQGtJ-D4Kx74LraTDZ4KM8,https://drive.google.com/file/d/1RDdLH4SlQ9lQGtJ-D4Kx74LraTDZ4KM8/view,เกิ้ง-005-แบ่งเขต.pdf,no-forms,,,,0
มหาสารคาม,1,1TPN_FmJU38d3nYa9RJ1HI6XMK30YsiWt,https://drive.google.com/file/d/1TPN_FmJU38d3nYa9RJ1HI6XMK30YsiWt/view,เกิ้ง-011-บัญชีรายชื่อ.pdf,no-forms,,,,0
เชียงราย,6,1RdtF4umlClKmC7EiZ9UkhTJOF0nwLASg,https://drive.google.com/file/d/1RdtF4umlClKmC7EiZ9UkhTJOF0nwLASg/view,06-แม่สาย-ทต.ห้วยไคร้ (บช).pdf,no-forms,,,,0
อุดรธานี,1,1TvmQMLARCW4W-bjiSqHfSrX--kTt0pTj,https://drive.google.com/file/d/1TvmQMLARCW4W-bjiSqHfSrX--kTt0pTj/view,น.96 (5_18 บช).pdf,no-forms,,,,0
ราชบุรี,4,1RJCDWt7G3WGmn4frWN7qusIZpUCaSWqm,https://drive.google.com/file/d/1RJCDWt7G3WGmn4frWN7qusIZpUCaSWqm/view,"สส. 5ทับ18,สส. 5ทับ18 (บช).pdf",no-forms,,,,0
อุดรธานี,1,1U3gXOau4ONX0hH2jysNPlFAVlEobBfT9,https://drive.google.com/file/d/1U3gXOau4ONX0hH2jysNPlFAVlEobBfT9/view,น.95(5_18 บช).pdf,no-forms,,,,0
เชียงราย,6,1UznRcQ291weaFNYiVa1zg2v2xcld2Hm2,https://drive.google.com/file/d/1UznRcQ291weaFNYiVa1zg2v2xcld2Hm2/view,06-แม่สาย-บ้านด้าย-แบ่งเขต.pdf,no-forms,,,,0
ราชบุรี,4,1ULY8MA93hnXMfSHnxMF-l1X0FPDiD85X,https://drive.google.com/file/d/1ULY8MA93hnXMfSHnxMF-l1X0FPDiD85X/view,"สส. 5ทับ18,สส. 5ทับ18 (บช).pdf",no-forms,,,,0
สุโขทัย,2,1UiMK2vp9Keayx912M3vgODcoaed-1YgN,https://drive.google.com/file/d/1UiMK2vp9Keayx912M3vgODcoaed-1YgN/view,ทต.ลานหอย -04-บัญชีรายชื่อ.pdf,no-forms,,,,0
นครราชสีมา,2,1VRJ8y6CHQdExD2mMLPLrbb0-0Rk4-5Xr,https://drive.google.com/file/d/1VRJ8y6CHQdExD2mMLPLrbb0-0Rk4-5Xr/view,8. สส.5-18 บช.pdf,ok,,,15,57
ราชบุรี,4,1W_kbhkuMvkHPnZmEwsys3Iwz0VRNWNIN,https://drive.google.com/file/d/1W_kbhkuMvkHPnZmEwsys3Iwz0VRNWNIN/view,"สส. 5ทับ18,สส. 5ทับ18 (บช).pdf",no-forms,,,,0
นครราชสีมา,2,1YbPsNcNBJ_uYM-5fPfWZUfpBc-OZ_8gt,https://drive.google.com/file/d/1YbPsNcNBJ_uYM-5fPfWZUfpBc-OZ_8gt/view,33. สส.5-18 บช.pdf,no-forms,,,,0
อุดรธานี,1,1Y0nlYN_1rhy4sRBuNFW7O-SW2ezSFRzJ,https://drive.google.com/file/d/1Y0nlYN_1rhy4sRBuNFW7O-SW2ezSFRzJ/view,น.99(5_18 บช).pdf,no-forms,,,,0
อุดรธานี,1,1ZkJM8DbERoynq-MO-ysh65zhEKptQPEQ,https://drive.google.com/file/d/1ZkJM8DbERoynq-MO-ysh65zhEKptQPEQ/view,อส.น.95.pdf,no-forms,,,,0
นครราชสีมา,1,1Z7ew0mJWxOYbdhP0v8NYDIBIAbgSFDL5,https://drive.google.com/file/d/1Z7ew0mJWxOYbdhP0v8NYDIBIAbgSFDL5/view,บช95.pdf,no-forms,,,,0
ขอนแก่น,2,1YiiOBo5mdzdQYnyFf84-iBuGnY3IUehX,https://drive.google.com/file/d/1YiiOBo5mdzdQYnyFf84-iBuGnY3IUehX/view,ประชามติ 3.pdf,no-forms,,,,0
